HCHA_0.001_0.0_1,80.487 ± 1.812,79.424 ± 0.769,368903, 31.46s, 0.67s,0.0min31.46s
HCHA_0.001_0.0_1,79.919 ± 1.237,79.579 ± 2.111,368903, 34.68s, 0.92s,0.0min34.68s
